№ п/п,"№
документа","Дата
регистрации","Исх. №
Дата",Адресат,Автор,"Краткое
содержание",Примечание
3529,WSR/1-654/2018,29.03.2018,"Б/н
29.03.2018",Глушко Д.Е.,"Дмитриева С.Т. (ГАОУ Республики Хакассия ДПО ""Хакасский институт развития образования и повышения квалификации"")",Вх - О замене участников для Отборочного чемпионата,
3530,WSR/1.10-653/2018,29.03.2018,"32
16.03.2018",Тымчиков А.Ю.,"Бернард Р.В. (ООО ""ТЭС"")",Вх - О величине сервисного сбора,
3531,WSR/1.10-651/2018,29.03.2018,"22
16.03.2018",Тымчиков А.Ю.,"Ананьина Е.Ю. (ООО Международная организация социально-культурной и спортивной направленности ""Атлантик"")",Вх - О величине сервисного сбора,
3532,WSR/1.5-650/2018,29.03.2018,"9
28.03.2018",Глушко Д.Е.,Каленкин Н.А. (Региональный координационный центр в Ямало-Ненецком Автономном округе),Вх - О замене конкурсантки в отборочных соревнованиях,
3533,WSR/1.10-652/2018,29.03.2018,"24
16.03.2018",Тымчиков А.Ю.,"Гаврилова К.А. (ООО ""Лепная мастерская ""Деко-рум"")",Вх - О величине сервисного сбора,
3534,WSR/1.5-649/2018,29.03.2018,"8
28.03.2018",Глушко Д.Е.,Каленкин Н.А. (Региональный координационный центр в Ямало-Ненецком Автономном округе),Вх - О рассмотрении возможности участия в Отборочных соревнованиях Груздева Александра Сергеевича,
3535,WSR/1-648/2018,29.03.2018,"14-3/10/П-1981
26.03.2018",Уразов Р.Н.,Лекарев Г.Г. (51. Министерство труда и социальной защиты Российской Федерации (Минтруд)),"Вх - О предоставлении предложений по подготовке и проведению Национального чемпионата профессионального мастерства по стандартам WSR ""Автопром 2020""",
3536,WSR/1-647/2018,29.03.2018,"59-01-192
29.03.2018",Лысова С.И.,Скаковская Л.Н. (ФГБОУ ВО «Тверской государственного университет»),Вх - О запросе корректировки даты проведения отборочного чемпионата,
3537,WSR/1-646/2018,29.03.2018,"П8-15649
28.03.2018",Уразов Р.Н.,Юрьева С.Н. (Аппарат Правительства Российской Федерации),Вх - О совещании по вопросу подготовки к проведению финала Национального чемпионата 29 марта в 13:00,
3538,WSR/1-645/2018,29.03.2018,"17/115
15.03.2018",Глушко Д.Е.,Фетисов А.Б. (Правительство Самарской области),"Вх - О готовности организовать и провести отборочные соревнования по компетенции ""Физическая культура и спорт"" на территории Самарской области",
3539,WSR/1.13-644/2018,29.03.2018,"77.21/143
22.03.2018",Митяева И.В.,Фалев П.Г. (Акционерное Общество «Производственное объединение «Северное машиностроительное предприятие»),Вх - О направлении акта сверки,
3540,WSR/1.10-643/2018,29.03.2018,"98 э/п
16.03.2018",Тымчиков А.Ю.,"Волощук Л.В. (ГПОУ""Сыктывкарский политехнический техникум"")",Вх - О рассмотрении заявки о внесении изменений в перечень оборудования и расходных материалов для открытия ЦПДЭ,
3541,WSR/1.9-641/2018,28.03.2018,"01-06/13
28.03.2018",Саликова К.В.,"Волнина Т.Е. (Красногорский филиал ""Крокус Экспо"" АО ""КРОКУС ИНТЭРНЭШНЛ"")","Вх - О проведении Финала Межвузовского чемпионата на выставочных площадках ""Крокус Экспо""",
3542,WSR/1.6-642/2018,28.03.2018,"308-сд
26.03.2018",Крайчинская С.Б.,Филимонов М.Г. (Информационное телеграфное агентство России Итар-Тасс),"Вх - Об участии в дискуссии ""Бизнес-симуляция и другие технологичные решения как инструменты выявления и развития талантов"", которая состоится 4 апр с 12.00 до 14.00",
3543,WSR/1.6-640/2018,02.02.2018,"4
01.02.2018",Крайчинская С.Б.,"Гимбатгаджиев Т.М. (ООО ""СТК МАКС-М"")","Вх - О проведении программы ""Подготовка и проведение регионального чемпионата по стандартам Ворлдскиллс Россия""",
3544,WSR/1-639/2018,28.03.2018,"исх-6138
28.03.2018",Уразов Р.Н.,"Шаханов Д.С. (ОАО""Российские железные дороги"")",Вх - Об участии в финале смотра-конкурса 13 апреля 2018,Добавлено приложение. См во вложении
3545,WSR/1.13-638/2018,28.03.2018,"15/ЕС-2306
19.03.2018",Митяева И.В.,"Коршунова И.В. (АО ""Ангарская нефтехимическая компания"")",Вх - О направлении акта сверки взаимных расчетов,
3546,WSR/1-637/2018,28.03.2018,"1
28.03.2018",Уразов Р.Н.,"Сумбатян М.С. (ООО ""Инновационные системы образования"")",Вх - О приглашении на Международный Образовательный саммит Autodesk 15 мая 2018,
3547,WSR/1.9-636/2018,28.03.2018,"04-998
28.03.2018",Саликова К.В.,"Кормнов А.А. (АО ""Экспоцентр"")",Вх - О сотрудничестве по проведению Финала II Межвузовского чемпионата,
3548,WSR/1.5-635/2018,28.03.2018,"10
28.03.2018",Глушко Д.Е.,Каленкин Н.А. (Региональный координационный центр в Ямало-Ненецком Автономном округе),"Вх - О замене участников в финале VI Национального чемпионата ""Молодые профессионалы""",
3549,WSR/1-634/2018,28.03.2018,"100/3056
26.03.2018",Уразов Р.Н.,"Дерябина Л.В. (АО ""Торговый дом ""Перекресток"")",Вх - О возврате излишне перечисленных денежных средств,
3550,WSR/1-633/2018,27.03.2018,"Б/н
27.03.2018",Уразов Р.Н.,"Камардина А.Ю. (ФГУП ""ЦАГИ"")","Вх - О приглашении представителей Союза принть участие в I Открытых демонстрационных соревнованиях специалистов по рабочим профессиям ФГУП ""ЦАГИ"" на основе методик WorldSkills Russia",
3551,WSR/1-632/2018,27.03.2018,"1224-04-45/АСИ
27.03.2018",Уразов Р.Н.,Силинг А.Л. (Агентство стратегических инициатив по продвижению новых проектов),"Вх - О направлении предложений по модернизации образовательных организаций, реализующих образовательные программы СПО, в целях устранения дефицита высококвалифицированных рабочих кадров
 
 Перечь поручений Президента России от 27 дек 2017 года Пр-321ГС",
3552,WSR/1-631/2018,27.03.2018,"б/н
27.03.2018",Лысова С.И.,Трухачев В.И. (Ставропольский государственный аграрный университет),Вх - Об участии в церемонии торжественного открытия вузовского чемпионата 2 апр 2018 в 17.30,
3553,WSR/1.6-630/2018,27.03.2018,"09-12/138-7
16.03.2018",Крайчинская С.Б.,Должикова А.В. (Российский университет дружбы народов),"Вх - Об участии в заседании рабочей группы приоритетного проекта ""Развитие экспортного потенциала российской системы образования"", которое состоится 29 мар 2018 г. в 12.00",
3554,WSR/1-629/2018,27.03.2018,"ЮТ-903
23.03.2018",Глушко Д.Е.,Таран Ю.Н. (Администрация Липецкой области),Вх - О передаче функций и полномочий РКЦ Липецкому индустриально-строительному колледжу,
3555,WSR/1-628/2018,27.03.2018,"07/02-18
27.03.2018",Куколев С.В.,Насонов С.Н. (Региональный координационный центр Тульской области),Вх - О направлении документов на аккредитацию ЦПДЭ по 10 компетенциям,
3556,WSR/1-627/2018,27.03.2018,"П8-15208
26.03.2018",Уразов Р.Н.,"Юрьева С. (Департамент науки, высоких технологий и образования Правительства РФ)",Вх - О проведении совещания по вопросу подготовки к проведению финала Нац. чемпионата 29 мар 2018 г. в 17.30,
3557,WSR/1-626/2018,27.03.2018,"389/73
26.03.2018",Лысова С.И.,"Мишин Д.В. (ФГОБУ ВО ""Поволжский государственный университет телекоммуникаций и информатики"")",Вх - О переносе сроков проведения вузовского отборочного чемпионата,
3558,WSR/1-625/2018,27.03.2018,"47-13-5385/18
23.03.2018",Саликова К.В.,"Федоренко К.А. (Министерство образования, науки и молодежной политики Краснодарского края)",Вх - О предоставлении информации сроков проведения Финала в Сахалинской области,
3559,WSR/1-624/2018,27.03.2018,"06-522
26.03.2018",Уразов Р.Н.,Черноскутова И.А. (Министерство образования и науки Российской Федерации. Департамент государственной политики в сфере подготовки рабочих кадров и ДПО),"Вх - Об участии в семинаре по проблемам применения профстандартов при актуализации и экспертизе ФГОС и примерных основных образовательных программ СПО, который состоится 30 мар 2018 в 10.00",
3560,WSR/1-623/2018,27.03.2018,"35/НЦТС
12.02.2018",Гонтарь М.А.,"Орлова Н.А. (АНО ""Национальный центр трудовой славы"")","Вх - О направлении нового выпуска (журнал) Альманах ""Время России"" 2017 №4(№17)",Приложение: журнал
3561,WSR/1-621/2018,27.03.2018,"474
21.03.2018",Куколев С.В.,"Судленков А.А. (АПОУ Чувашской области ""Межрегиональный центр компетенций - Чебоксарский электромеханический колледж"" (МКЦ-ЧЭМК Минобразования Чувашии))","Вх - О соответствии материально-технической базы документам на аккредитацию ЦПДЭ по компетенции ""Сварочные технологии""",
3562,WSR/1-622/2018,27.03.2018,"475
21.03.2018",Куколев С.В.,"Судленков А.А. (АПОУ Чувашской области ""Межрегиональный центр компетенций - Чебоксарский электромеханический колледж"" (МКЦ-ЧЭМК Минобразования Чувашии))","Вх - О соответствии материально-технической базы документам на аккредитацию ЦПДЭ по компетенции ""Токарные работы на станках с ЧПУ""",
3563,WSR/1-620/2018,27.03.2018,"473
21.03.2018",Куколев С.В.,"Судленков А.А. (АПОУ Чувашской области ""Межрегиональный центр компетенций - Чебоксарский электромеханический колледж"" (МКЦ-ЧЭМК Минобразования Чувашии))","Вх - О соответствии материально-технической базы документам на аккредитацию ЦПДЭ по компетенции ""Электроника""",
3564,WSR/1-619/2018,26.03.2018,"б/н
21.03.2018",Уразов Р.Н.,Секретарь С. (Судебный участок № 247 района Даниловский),"Вх - О вызове на участок в качестве лица, привлекаемого к адм. ответственности 5 апр 2018 к 11.00",
3565,WSR/1-618/2018,26.03.2018,"526
26.03.2018",Уразов Р.Н.,"Судленков А.А. (АПОУ Чувашской области ""Межрегиональный центр компетенций - Чебоксарский электромеханический колледж"" (МКЦ-ЧЭМК Минобразования Чувашии))","Вх - О приглашении принять участие в работе заседания наблюдательного совета ""ГАПОУ ЧР МЦК - Чебоксарский электромеханический колледж"" по заочной форме 30 марта 2018г.",
3566,WSR/1-616/2018,26.03.2018,"9129/000300
26.03.2018",Уразов Р.Н.,"Ибрагимова Н.Е. (Государственная корпорация ""Банк развития и внешнеэкономической деятельности (Внешэкономбанк""))","Вх - О проведении совещания ""О выработке дополнительных мероприятий для включения в приоритетную программу, в том числе в рамках государственных программ Российской Федерации"" 28 марта 2018 года",
3567,WSR/1-617/2018,26.03.2018,"01/1172
19.03.2018",Лысова С.И.,Фальков В.Н. (Тюменский государственный университет),Вх - О проведении открытого отборочного внутривузовского чемпионата по стандартам Ворлдскиллс,
3568,WSR/1.14-615/2018,26.03.2018,"160-406/7-4/01
15.03.2018",Лысова С.И.,Юшко С.В. (Федеральное государственное бюджетное образовательное учреждение высшего образования «Казанский национальный исследовательский технологический университет»),Вх - О включении компетенций по направлению WorldSkills Junior в вузовский чемпионат,
3569,WSR/1-614/2018,26.03.2018,"35-03/37-46
26.03.2018",Лысова С.И.,Разинкина Е.М. (Санкт-Петербургский политехнический университет Петра Великого),"Вх - Об утверждении дат проведения Открытого отборочного чемпионата по компетенции ""Мехатроника"" 15 и 16 мая 2018 года",
3570,WSR/1-613/2018,26.03.2018,"1/1/401
16.03.2018",Крайчинская С.Б.,"Клоков В.В. (ФГБОУ ВО ""Морской государственный универститет им. адмирала Г.И Невельского)",Вх - О направлении анекеты слушателя Академии Ворлдскиллс Россия,
3571,WSR/1-612/2018,26.03.2018,"316-01-100-832/18-0-0
12.03.2018",Глушко Д.Е.,Злобин С.В. (Министерство образования Нижегородской области),"Вх - О направлении Дорожной карты по реализации проектов и программ Движения ""Молодые профессионалы""",
3572,WSR/1.8-611/2018,26.03.2018,"344/16-106
20.03.2018",Недоспасова О.В.,"Серебряков С.Г. (ПАО ААК ""ПРОГРЕСС"")",Вх - О направлении подписанного договора благотворительной деятельности,
3573,WSR/1.13-610/2018,26.03.2018,"Бух/498
12.03.2018",Токтарова Т.А.,"Згурская С.В. (ОАО ""НТП ""Авиатест"")",Вх - О направлении акта сверки взаимных расчетов,
3574,WSR/1-609/2018,26.03.2018,"297
20.03.2018",Тымчиков А.Ю.,Горбунова Т.С. (Региональный координационный центр Омской области),Вх - Заявление кандидата о прохождении сертификации эксперта Ворлдскиллс,
3575,WSR/1-608/2018,26.03.2018,"239
15.03.2018",Куколев С.В.,Ганеев Т.М. (Уфимский топливно-энергетический колледж),Вх - Заявление на участие в аккредитации СЦК,
3576,WSR/1-607/2018,26.03.2018,"20-207
21.03.2018",Уразов Р.Н.,Голикова Т.М. (Министерство образования и науки РФ Департамент контрольно-ревизионной деятельности и профилактики правонарушений),Вх - О проведении проверки,
3577,WSR/1-606/2018,26.03.2018,"22
22.03.2018",Куколев С.В.,Жолобова О.В. (Региональный координационный центр Самарской области),Вх - Заявка на аккредитацию центров проведения демонстрационного экзамена,
3578,WSR/1-605/2018,26.03.2018,"1.1-1243/18
16.03.2018",Уразов Р.Н.,Кожемяко О.Н. (Губернатор Сахалинской области),"Вх - О возможности организации и проведения соревнований за счет средств АНО Союза ""Молодые профессионалы"" по 10 компетенциям",
3579,WSR/1-604/2018,26.03.2018,"01-12/173
23.03.2018",Лысова С.И.,Надворная О.А. (ГАОУ ВО МГИИТ имени Ю.А.Сенкевича),Вх - О невозможности оплаты взноса и рассмотрении альтернативных возможностей партнерства и участия в мероприятиях Союза WorldSkills,
3580,WSR/1-603/2018,26.03.2018,"83-ОС
22.03.2018",Уразов Р.Н.,Данилов-Данильян А.В. (Торгово-промышленная палата Российской Федерации),Вх - О направлении документов и бюллетеня для проведения общественной экспертизы,
3581,WSR/1-602/2018,26.03.2018,"50-43-1457/15
23.03.2018",Тымчиков А.Ю.,"Геворкян Е.Н. (Департамент образования г.Москвы Государственное автономное образовательное учреждение высшего образования г.Москвы ""Московский городской педагогический университет"")",Вх - О приглашении П.М.Акимова принять участие в работе Межрегиональной конференции по проблемам опережающей подготовки рбочих кадров на основе стандартов WorldSkills 26-27 марта 2018 года,
3582,WSR/1-601/2018,23.03.2018,"21
15.03.2018",Тымчиков А.Ю.,Бабинцев Г.В. (Ассоциация эксплуатантов и разработчиков беспилотных авиационных систем),"Вх - О проведении встречи для обсуждения вопросов сотрудничества, в частности развития компетенции ""Управление беспилотными аппаратами""",
3583,WSR/1-600/2018,23.03.2018,"134
14.03.2018",Куколев С.В.,"Волощук Л.В. (ГПОУ""Сыктывкарский политехнический техникум"")",Вх - О направлении документов для аккредитации ЦПДЭ,
3584,WSR/1-599/2018,23.03.2018,"389/20000
20.03.2018",Глушко Д.Е.,Терентьева Т.В. (ВГУЭС),Вх - О направлении заверенных копий НПА о подготовке к пилотной апробации и проведению демонстрационного экзамена по стандартам Ворлдскиллс Россия в 2018 году,
3585,WSR/1-597/2018,23.03.2018,"14-3/10/В-1859
19.03.2018",Уразов Р.Н.,Ельцова Л.Ю. (51. Министерство труда и социальной защиты Российской Федерации (Минтруд)),Вх - О направлении подписанного бюллетеня и уточнении вопросов,
3586,WSR/1-596/2018,22.03.2018,"исх-376/18
06.03.2018",Куколев С.В.,Поминов А.И. (Министерство образования и науки Республики Татарстан),Вх - О направлении документации для аккредитации центров проведения демонстрационного экзамена по стандартам Ворлдскиллс Россия в 2018 году,
3587,WSR/1-598/2018,23.03.2018,"14-56/3460
23.03.2018",Уразов Р.Н.,Гафаров Ш.Х. (Аппарат Кабинета Министров Республики Татарстан),О закупке оборудования,
3588,WSR/1-595/2018,23.03.2018,"02-01-82/2239
23.03.2018",Глушко Д.Е.,Биктуганов Ю.И. (Министерство общего и профессионального образования Свердловской области),Вх - О сроках проведения демонстрационного экзамена в Свердловской области,
3589,WSR/1-594/2018,22.03.2018,"16-551
22.03.2018",Уразов Р.Н.,Ганьшин И.Н. (Министерство образования и науки РФ Международный департамент),Вх - О согласовании состава оргкомитета по подготовке и проведению Московского международного салона образования,
3590,WSR/1-593/2018,22.03.2018,"59-01-55
22.03.2018",Лысова С.И.,"Циринг Д.А. (ГОУ ВПО ""Челябинский государственный университет"")",Вх - О включении в график вузовских отборочных чемпионатов в срок с 02 по 05 июл 2018 г. по трем компетенциям,
3591,WSR/1-592/2018,22.03.2018,"67
22.03.2018","Недоспасова О.В.
Глушко Д.Е.
Лысова С.И.
Никул Е.В.","Дмитриева Е.Н. (""Кемппи ЛЛС"" (Kemppi LLC))","Вх - Приглашение директоров РКЦ, колледжей и базовых учебных центров посетить завод Kemppi Oy в г. Лахти в период с 4 по 6 июн 2018 г.",
3592,WSR/1-591/2018,22.03.2018,"исх-361/18
02.03.2018",Глушко Д.Е.,Поминов А.И. (Министерство образования и науки Республики Татарстан),Вх - О направлении соглашений в рамках участия в пилотной апробации проведения ДЭ,Документы направлены Доронину Ю. 22.03.2018
3593,WSR/1-590/2018,22.03.2018,"исх-376/18
06.03.2018",Куколев С.В.,Поминов А.И. (Министерство образования и науки Республики Татарстан),Вх - О направлении документации для аккредитации ЦПДЭ по нескольким компетенциям,Документы сшиты. Переданы Викентьеву В. 22.03.2018
3594,WSR/1-588/2018,22.03.2018,"П6-14249
21.03.2018",Уразов Р.Н.,Цыдыпов Б. (Аппарат Правительства Российской Федерации),"Вх - О направлении уточненной повестки и материалов к заседанию проектного комитета по основному направлению стратегического развития России ""Производительность труда"", которое состоится 23 мар 2018 в 12.00",Приложение: CD-диск
3595,WSR/1-586/2018,22.03.2018,"566/02-17
21.03.2018",Лысова С.И.,Ерохин С.Д. (Московский технический университет связи и информатики),"Вх - Об отмене регистрации в качестве организатора вузовского отборочного чемпионата, заявленной в электронной системе eSim",
3596,WSR/1-587/2018,22.03.2018,"339/18
05.03.2018",Гонтарь М.А.,"Стуглев А.А. (Фонд ""Росконгресс"")",Вх - О направлении оф журнала Российского инвестиционного форума Сочи-2018,Журнал передан Мироновой С. 22.03.2018
3597,WSR/1.7-589/2018,22.03.2018,"04-02/5874-ИС
22.03.2018",Хворостяная И.В.,Петренко В.А. (Министерство транспорта Российской Федерации),"По вопросу проработки организации льготного проезда в рамках Чемпионата, а также для расчета потерь в доходах.",
3598,WSR/1-585/2018,22.03.2018,"ИП-4/06пр
15.03.2018",Уразов Р.Н.,Потехина И.П. (Министерство образования и науки Российской Федерации),"Вх - Протокол совещания у Потехиной И.П. о проекте постановления ""Об утверждении положения о порядке поощрения победителей и призеров национальных и международных чемпионатов, а также их тренеров""",
3599,WSR/1-584/2018,21.03.2018,"Б/н
21.03.2018
Б/н
21.03.2018
Б/н
21.03.2018",Тымчиков А.Ю.,"Копышкин Д.Е. (Компетенция ""Сервис на воздушном транспорте"")
Кулешова Э.С. (Компетенция ""Сервис на воздушном транспорте"")
Рогачев П.В. (Компетенция ""Сервис на воздушном транспорте"")",Вх - О разрешении подать документы в мировой реестр повторно и запланировать соревнования на Чемпионате мира в Казани в 2019 году,
3600,WSR/1.10-583/2018,21.03.2018,"166
21.03.2018",Тымчиков А.Ю.,Абрамов С.А. (Волгоградский экономико-технический колледж),Вх - О замене участников Отборочных соревнований для участия в ФНЧ-2018,
3601,WSR/1-582/2018,21.03.2018,"150/2018
20.03.2018",Уразов Р.Н.,"Куприн В.К. (ООО ""Демлинк Трэвел"")",Вх - О просрочках платежей и приостановлении обслуживания до погашения задолженности,
3602,WSR/1-581/2018,21.03.2018,"01-51/02-654/18
21.03.2018",Уразов Р.Н.,Неумывакин В.С. (Департамент образования города Москвы),"Вх - О заседании рабочей группы Москвы по реализации приоритетных проектов ""Подготовка высококвалифицированных специалистов и рабочих кадров с учетом современных стандартов и передовых технологий""",
3603,WSR/1-580/2018,21.03.2018,"06-498
21.03.2018",Уразов Р.Н.,Картошкин С.А. (Министерство образования и науки Российской Федерации. Департамент государственной политики в сфере подготовки рабочих кадров и ДПО),"Вх - О вопросе создания на территории ""Сколково"" филиала Союза Ворлдскиллс Россия",
3604,WSR/1-579/2018,21.03.2018,"1812-6155
20.03.2018",Глушко Д.Е.,Кравченко О.А. (Южнороссийский государственный политехнический университет им.М.И.Платова),Вх - О внесении изменений в график проведения пилотной апробации демэкзамена,
3605,WSR/1-578/2018,21.03.2018,"12-113/12-04
20.03.2018",Уразов Р.Н.,Филипенко А.В. (Счетная палата Российской Федерации),Вх - О снятии с контроля представления Счетной палаты РФ по результатам контрольного мероприятия,
3606,WSR/1.6-576/2018,20.03.2018,"06-490
20.03.2018",Крайчинская С.Б.,Черноскутова И.А. (Министерство образования и науки Российской Федерации. Департамент государственной политики в сфере подготовки рабочих кадров и ДПО),Вх - О проведении совещания 21 марта 2018 года,
3607,WSR/1.10-577/2018,20.03.2018,"06-489
20.03.2018",Куколев С.В.,Черноскутова И.А. (Министерство образования и науки Российской Федерации. Департамент государственной политики в сфере подготовки рабочих кадров и ДПО),Вх - О проведении совещания 21 марта 2018 года,
3608,WSR/1-575/2018,20.03.2018,"02-01/0
16.03.2018",Уразов Р.Н.,Ничипурук Е. (ED Summit),"Вх - Об участии в Международной конференции по новым технологиям и продуктам в сфере образования ED Simmit в качестве спикера сессии ""Нишевое образование"", которое состоится в период 5-6 июн 2018г.",
3609,WSR/1-574/2018,20.03.2018,"ИП-137/06
16.03.2018",Уразов Р.Н.,Потехина И.П. (Министерство образования и науки Российской Федерации),"Вх - О согласовании проекта постановления об утверждении положения о порядке поощрения победителей и призеров национального и международного чемпионатов WS, а также их тренеров
 
 Перечень поручений Президента России от 2 ноя 2017г № Пр-2225, п. 1б
 поручение Правительства России от 7 ноя 2017г № ОГ-П8-7412, п. 2",
3610,WSR/1-573/2018,19.03.2018,"ИП-140/06
19.03.2018",Уразов Р.Н.,Потехина И.П. (Министерство образования и науки Российской Федерации),"Вх - О направлении предложений по пунктам 1, 2 поручения Правительства России от 13 фев 2018 г. № ОГ-П8-791",
3611,WSR/1-572/2018,19.03.2018,"ИП-139/06
19.03.2018",Уразов Р.Н.,Потехина И.П. (Министерство образования и науки Российской Федерации),"Вх - О согласовании проекта плана работы на 2018 год орг. комитета по подготовке и проведению МЧ Казань-2019
 
 В соответствии с Распоряжением Правительства России от 27 ноя 2015 № 2429-р, п.2.",
3612,WSR/1-571/2018,19.03.2018,"06-486
19.03.2018",Уразов Р.Н.,Черноскутова И.А. (Министерство образования и науки Российской Федерации. Департамент государственной политики в сфере подготовки рабочих кадров и ДПО),"Вх - О направлении предложений по подготовке и проведению Нац. чемпионата профмастерства по стандартам WSR ""Автопром 2020"" с указанием источников финансирования
 
 Поручение Правительства России от 2 мар 2018 г. № АД-П9-20пр, п.2",
3613,WSR/1.14-570/2018,19.03.2018,"б/н
19.03.2018",Лысова С.И.,Балыхин М.Г. (Московский государственный университет пищевых производств),"Вх - Об участии в международной конференции ""Современное состояние и перспективы развития упаковки в пищевой промышленности"", которая состоится 5 апр 2018 в 10.30",
3614,WSR/1-569/2018,19.03.2018,"Б/н
19.03.2018",Тымчиков А.Ю.,"Седова Н.Н. (ГБПОУ г. Москвы ""Московский колледж управления, гостиничного бизнеса и информационных технологий ""Царицыно"")",Вх - О замене кандидатуры эксперта-компатриота в Финале Национального чемипионата,
3615,WSR/1.5-568/2018,19.03.2018,"03/12-3391
19.03.2018",Глушко Д.Е.,Кудряшов С.В. (Министерство образования и молодежной политики Чувашской республики),Вх - О проведении заседания Оргкомитета Отборочных Соревнований на право участия в Финале VI Национального чемпионата,
3616,WSR/1-567/2018,19.03.2018,"248
19.03.2018",Уразов Р.Н.,"Даньшов Д.Н. (ООО ""Механика"")",Вх - О приглашении на шестой Международный деловой форум российских производственных компаний и поставщиков автокомпонентов,
3617,WSR/1-566/2018,19.03.2018,"555
19.03.2018",Лысова С.И.,"Баженова Н.Г. (ФГБОУВО ""ПГУ им-Шолом-Алейхема"")","Вх - О проведении вузовского чемпионата ""Молодые профессионалы""",
3618,WSR/1-565/2018,19.03.2018,"01-17/392
19.03.2018",Уразов Р.Н.,"Голубовский В.Н. (Учреждение образования ""Республиканский институт профессионального образования"" (Республика Беларусь))",Вх - О приглашении к участию в III Республиканском конкурсе профессионального мастерства,
3619,WSR/1.5-564/2018,19.03.2018,"Б/н
19.03.2018","Глушко Д.Е.
Тымчиков А.Ю.","Галишников Ю.П. (ООО ""Учебная техника-ГалСен"")",Вх - О содействии в продвижении продукции,
3620,WSR/1-563/2018,19.03.2018,"28/5
15.03.2018",Глушко Д.Е.,"Афонин К.Ю. (ГБПОУ г. Москвы ""Колледж Архитектуры, Дизайна и Реинжиниринга № 26"")",Вх - Об изготовлении дополнительно 10 памятных знаков,
3621,WSR/1-562/2018,19.03.2018,"08-593
19.03.2018",Уразов Р.Н.,Петров А.Е. (Министерство образования и науки Российской Федерации),Вх - О переносе заседания Совета Минобрнауки России по ФГОС на 21 мар 2018г. на 9.00,
3622,WSR/1-561/2018,19.03.2018,"356-ОКДЗ
16.03.2018",Уразов Р.Н.,"Емельянов М.Ю. (АО ""Фрейт Линк"")",Вх - Претензия на сумму 690 901 руб. 26 коп. по договору об оказании курьерских услуг,
3623,WSR/1-560/2018,19.03.2018,"04.1-18/381
19.03.2018",Глушко Д.Е.,Щелкун Н.И. (РКЦ Хабаровского края),Вх - Об оказании содействия в решении вопроса оплаты консультационных услуг экспертов,
3624,WSR/1-559/2018,16.03.2018,"20-521
16.03.2018",Лысова С.И.,"Железнов Д.В. (ФГБОУ ВО ""Самарский государственный университет путей сообщения"")","Вх - О включении ""Самарского университета путей сообщений"" в график проведения вузовских чемпионатов",
3625,WSR/1.5-558/2018,16.03.2018,"Б/н
16.03.2018",Глушко Д.Е.,Каленкин Н.А. (Региональный координационный центр в Ямало-Ненецком Автономном округе),Вх - О замене участника на Национальном чемпионате,
3626,WSR/1-557/2018,16.03.2018,"Б/н
16.03.2018",Уразов Р.Н.,Без адреса (Без автора),"Вх - О проведении IV Открытого Регионального чемпионата ""Молодые профессионалы""",
3627,WSR/1-556/2018,16.03.2018,"01/1154
16.03.2018",Лысова С.И.,Фальков В.Н. (Тюменский государственный университет),Вх - Об участии в заседании президиума Межвузовского координационного совета,
3628,WSR/1.13-555/2018,16.03.2018,"269
12.03.2018",Митяева И.В.,"Устюгов А.Ю. (КОГПОБУ ""Кировский лесопромышленный колледж"")
Суслова Л.И. (КОГПОБУ ""Кировский лесопромышленный колледж"")",Вх - О назначении платежа,
3629,WSR/1-554/2018,16.03.2018,"01-09-11/05-56
14.03.2018",Куколев С.В.,Сабитов А.Р. (АО ХМАО-Югры Сургутский политехнический колледж),Вх - Заявка на аккредитацию ЦПДЭ,
3630,WSR/1-553/2018,16.03.2018,"55/17
15.03.2018",Глушко Д.Е.,Золотарева Н.В. (Региональный координационный центр Липецкой области),Вх - О согласовании проведения Отраслевого чемпионата 12-13 апреля 2018,
3631,WSR/1.10-552/2018,16.03.2018,"46
16.03.2018",Крук С.В.,Ткаченкова В.В. (Региональный координационный центр Смоленска),Вх - О вопросах правильной организации работы экспертного сообщества в пилотной апробации демэкзамена,
3632,WSR/1-551/2018,16.03.2018,"02-16-117/18-0-0
15.03.2018",Уразов Р.Н.,Говорунов А.Н. (Вице-Губернатор Санкт-Петербурга),Вх - О приглашении на Петербургский цифровой форум 2018 по вопросам построения цифровой экономики,
3633,WSR/1-550/2018,16.03.2018,"Исх. 1603-ЕФ
16.03.2018",Уразов Р.Н.,Ефимова И.В. (Цифровая индустрия промышленной России),Вх - О приглашении на конференцию ЦИПР-2018,
3634,WSR/1.11-549/2018,16.03.2018,"04.1-18-376
16.03.2018",Досканова А.В.,Щелкун Н.И. (РКЦ Хабаровского края),Вх - Об организации встречи с представителями WorldSkills Korea,
3635,WSR/1.5-548/2018,15.03.2018,"НЛ-08/3537
14.03.2018",Глушко Д.Е.,"Ларионова Н.И. (АО ""Корпорация МСП"")","Вх - О направлении сведения о победителях и участниках системы чемпионатов ""Молодые профессионалы"", желающих трудоустроиться",
3636,WSR/1-547/2018,15.03.2018,"П6-12975
15.03.2018",Уразов Р.Н.,Цыдыпов Б. (Аппарат Правительства Российской Федерации),"Вх - О проведении заседания проектного комитета по основному направлению стратегического развития РФ ""Производительность труда"" 23 марта 2018 года в 12:00",
